date,open,high,low,close,volume,capital gains
2022-12-28,30.0,31.5,30.0,31.5,268000,0.0
2022-12-29,33.04999923706055,33.04999923706055,33.04999923706055,33.04999923706055,20000,0.0
2022-12-30,34.70000076293945,34.70000076293945,34.70000076293945,34.70000076293945,224000,0.0
2023-01-02,33.0,35.70000076293945,33.0,35.5,812000,0.0
2023-01-03,35.5,35.54999923706055,34.04999923706055,35.400001525878906,292000,0.0
2023-01-04,35.400001525878906,35.5,34.650001525878906,35.20000076293945,196000,0.0
2023-01-05,35.5,36.099998474121094,35.0,36.0,304000,0.0
2023-01-06,36.650001525878906,36.95000076293945,34.5,36.849998474121094,280000,0.0
2023-01-09,35.150001525878906,38.25,35.150001525878906,37.79999923706055,168000,0.0
2023-01-10,37.900001525878906,38.400001525878906,37.29999923706055,37.900001525878906,76000,0.0
2023-01-11,37.099998474121094,41.5,37.099998474121094,38.900001525878906,280000,0.0
2023-01-12,38.599998474121094,39.0,37.650001525878906,38.0,48000,0.0
2023-01-13,37.150001525878906,38.20000076293945,36.900001525878906,37.599998474121094,56000,0.0
2023-01-16,38.0,40.0,38.0,39.0,140000,0.0
2023-01-17,40.0,40.79999923706055,38.900001525878906,40.5,180000,0.0
2023-01-18,40.95000076293945,41.25,39.650001525878906,39.75,172000,0.0
2023-01-19,41.0,41.25,38.0,38.400001525878906,324000,0.0
2023-01-20,38.29999923706055,39.400001525878906,38.20000076293945,39.0,84000,0.0
2023-01-23,39.650001525878906,39.650001525878906,36.79999923706055,37.5,56000,0.0
2023-01-24,37.150001525878906,37.349998474121094,35.099998474121094,35.349998474121094,92000,0.0
2023-01-25,35.5,36.5,35.20000076293945,36.29999923706055,52000,0.0
2023-01-27,33.5,35.29999923706055,33.5,35.150001525878906,20000,0.0
2023-01-30,34.900001525878906,34.900001525878906,33.5,33.5,8000,0.0
2023-01-31,33.5,33.5,32.25,33.5,16000,0.0
2023-02-01,33.5,33.5,33.5,33.5,8000,0.0
2023-02-02,33.5,34.75,32.25,34.75,24000,0.0
2023-02-03,36.0,36.0,34.95000076293945,34.95000076293945,12000,0.0
2023-02-06,34.95000076293945,34.95000076293945,34.95000076293945,34.95000076293945,0,0.0
2023-02-07,34.95000076293945,34.95000076293945,34.95000076293945,34.95000076293945,0,0.0
